PPN	Signatur_PPN	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	Weitere Nummer (Typ Signatur)	Weitere Nummer (Signatur)	Weitere Nummer (Typ Verlagsnr.)	Weitere Nummer (Verlagsnr.)	Weitere Nummer (Typ UPC)	Weitere Nummer (UPC)	Weitere Nummer (Typ Matrix)	Weitere Nummer (Matrix)	Datum	"Ort"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"GND-Name"	"Rolle"	"Name"	"Bemerkung"	
280801912	R 313 280801912	Eternel Docteur Nico [2] / Docteur Nico et l'Orchestre African Fiesta	Merveilles du passé	"fre,lin,spa"	Enth.: Lolita. Lakisa bango. Au complet. Merengue Président. Kiboloso. PB zonga. Mambo hawaienne. Me voy a cantar. Naleli Godee. Libala bisengo. Tosa mpe banga. Na landa baninga. Na bendi nzoto	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 313	Verlags-Bestellnummer	African 360.152			Matrix-Nummer	Matrix-Nr.: 360152 A;360152 B	1985	"Paris"	African (Sonodisc)	"Musik,Kongo,Lingala,Populäre Musik"	2004/262	Matrix-Nr.: 360152 A;360152 B		Interpr.: Docteur Nico. Orchestre African Fiesta	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135147484,http://d-nb.info/gnd/3058909-5"	"Nico, Docteur,African Fiesta"	"Interpretation (durch),Interpretation (durch)"	"Nico <Docteur>,African Fiesta"	"1939-1985,"	
284842354	R 320 284842354	Special 30 ans par le poète Simaro et le Grand Maître Franco / Franco. Lutumba Simaro. Le T.P.O.K. Jazz		"lin,fre"	Enth.: Testament ya Bowule. Vaccination ya ba soucis. Tala merçi bapesaka na mbua. Aminata na zangi visa	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 320	Verlags-Bestellnummer	A.S.M. Choc Choc Choc 007			Matrix-Nummer	Matrixnummern: CHOC 007 A2 AM, CHOC 007 B2 AM	1986	"Brüssel"	African Sun Music	"Musik,Kongo.,Lingala,Populäre Musik"	1987/1576	Matrixnummern: CHOC 007 A2 AM, CHOC 007 B2 AM		Interpr.: Franco. Simaro. T.P. O.K. Jazz	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034498649,http://d-nb.info/gnd/1054734453,http://d-nb.info/gnd/3015656-7"	"Franco, Musiker,Simaro, Musiker,Tout-Puissant OK Jazz"	"Interpretation (durch),Beteiligte Person/Körperschaft,Interpretation (durch)"	"Franco <Musiker>,Simaro <Musiker>,Tout-Puissant OK Jazz"	"1938-1989,1939-,"	
28484294X	R 321 28484294X	Furaha ya Bibi : the international Sam Mangwana in Nairobi [[Tonträger]] / Sam Mangwana		"und"	Enth.: Furaha ya Bibi. Masai. Lugha ya mapenzi. Saturday night	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 321	Verlags-Bestellnummer	ASLP 409			Matrix-Nummer	Matrix-Nr. 561 ASLP-409-A-1;561 ASLP-409-B-1	1984	"S.l."	ASL (Phonogram)	"Musik,Kongo,Kenia,Nairobi,Populäre Musik"	1987/1577	Matrix-Nr. 561 ASLP-409-A-1;561 ASLP-409-B-1			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/13511263X"	"Mangwana, Sam"	"Beteiligte Person/Körperschaft"	"Mangwana, Sam"	"1945-"	
287517365	R 332 287517365	The sound of Kinshasa : guitar classics from Zaire / Compiled & produced by John Storm Roberts		"und"		1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 332	Verlags-Bestellnummer	OMA 102					1980	"Tivoli, N.Y."	Original Music	"Musik,Kongo, Zaire,Populäre Musik"	1987/1530			Interpr.: div.	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/121324982"	"Roberts, John Storm"	"Musikalisches Werk Herausgabe (durch)"	"Roberts, John Storm"	"1936-2009"	
287526224	R 345 287526224	Rochereau et Franco à Paris / Tabu Ley ; Luambo-Makiadi		"mul"		1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 345	Verlags-Bestellnummer	GEN 103					1980	"Paris"	Sonodisc	"Musik,Kongo,Populäre Musik"	1987/1553			Interpr.: Tabu Ley. Franco	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/1034498649"	"Ley, Tabu,Franco, Musiker"	"Interpretation (durch),Beteiligte Person/Körperschaft"	"Ley, Tabu,Franco <Musiker>"	"1940-2013,1938-1989"	
287531481	R 346 287531481	Ley, Ley, Seigneur Ley Rochereau / Rochereau Tabu Ley et l'Afrisa International		"fre"		1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 346	Verlags-Bestellnummer	GEN 104					1983	"Paris"	Sonodisc	"Musik,Kongo,Populäre Musik"	1987/1554			Interpr.: Tabu Ley. Afrisa International	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Afrisa International Orchestra"	"Beteiligte Person/Körperschaft,Interpretation (durch)"	"Ley, Tabu,Afrisa International Orchestra"	"1940-2013,"	
287591530	R 347 287591530	L'explosive Mbilia Bel avec seigneur Ley Rochereau / Mbilia Bel avec Tabu Ley Rochereau et l'Afrisa International		"und"		1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 347	Verlags-Bestellnummer	Genidia GEN 102					1980	"Paris"	Sonodisc (Genidia)	"Musik,Kongo,Populäre Musik"	1987/1552			Interpr.: Mbilia Bel. Tabu Ley. Afrisa International	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/1074023617,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Bel, M'bilia,Afrisa International Orchestra"	"Interpretation (durch),Beteiligte Person/Körperschaft,Interpretation (durch)"	"Ley, Tabu,Bel, M'bilia,Afrisa International Orchestra"	"1940-2013,1959-,"	
287591751	R 348 287591751	Mbilia Bel dans "faux pas" / Mbilia Bel avec Seigneur Rochereau et l'Afrisa International		"und"	Enth.: Faux pas. Bafosami. Nazali mwasi. Motema ekopona	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 348	Verlags-Bestellnummer	Genidia GEN 105			Matrix-Nummer	Matrixnummern: GEN 105 A 1, GEN 105 B 1	1983	"Paris"	GENIDIA (Sonodisc)	"Musik,Kongo,Populäre Musik"	1987/1555	Matrixnummern: GEN 105 A 1, GEN 105 B 1		Interpr.: Mbilia Bel. Tabu Ley (Rochereau). Afrisa International	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/1074023617,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Bel, M'bilia,Afrisa International Orchestra"	"Interpretation (durch),Beteiligte Person/Körperschaft,Interpretation (durch)"	"Ley, Tabu,Bel, M'bilia,Afrisa International Orchestra"	"1940-2013,1959-,"	
288848020	R 353 288848020	Resurrection / Le Grand Seigneur Tabu Ley Et Afrisa	Rochereau	"fre,lin"	Enth.: Ponce Pilate. Resurrection - Monument. Tezua	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 353	Verlags-Bestellnummer	INA IS 026, (Disco Stock DS 7925)					1986	"Kinshasa"	INA Productions; (Disco Stock)	"Musik,Kongo,Lingala,Populäre Musik"	1989/1295			Interpr.: Tabu Ley. Orch. Afrisa Int.	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Afrisa International Orchestra"	"Beteiligte Person/Körperschaft,Interpretation (durch)"	"Ley, Tabu,Afrisa International Orchestra"	"1940-2013,"	
288850394	R 355 288850394	Je m'en fou / Merveilleux Celi Bitsou		"fre,lin"	Enth.: Je m'en fous. Faux mista - O change lokolo (O changer lokolo). Bapekisaki ngai	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 355	Verlags-Bestellnummer	Alia ASLP 423					1986	"Kinshasa u.a."	Alia Music	"Musik,Kongo,Lingala,Populäre Musik"	1989/1297			Interpr.: Celi Bitsou	Veröffentlichung (musikalisches Werk)	""	""	"Beteiligte Person/Körperschaft"	"Bitsou, Celi"	""	
288850874	R 356 288850874	Sanza misato / Seigneur Tabu Ley Rochereau. Orchestre Afrisa		"lin,fre"		1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 356	Verlags-Bestellnummer	Genidia IS 021					1985	"Paris"	Sonodisc (Genidia)	"Musik,Kongo,Lingala,Populäre Musik"	1989/1299			Interpr.: Tabu Ley Rochereau. Orchestre Afrisa	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Afrisa International Orchestra"	"Interpretation (durch),Interpretation (durch)"	"Ley, Tabu,Afrisa International Orchestra"	"1940-2013,"	
300629249	R 406 300629249	Viva la musica / Papa Wemba		"und"	Enth.: Alanga ndo. La vie comme elle va bola. Ambochila. Cherie-Kathona	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 406	Verlags-Bestellnummer	R&M REM 110					1985	"Paris"	R&M - Rythmes et Musique	"Musik,Kongo,Populäre Musik"	1992/507			Interpr.: Papa Wemba	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134756258"	"Papa Wemba"	"Beteiligte Person/Körperschaft"	"Papa Wemba"	"1949-2016"	
300631936	R 404 300631936	Embargo / Aurlus Mabele et le Groupe Loketo		"und"	Enth.: Embargo. Asta-Di. Mawa. Betty. Liste rouge. Un seul Dieu	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 404	Verlags-Bestellnummer	JIP 021					1985	"S.l."	J.I.P. - Jimmy Hoetinou Intern. Production	"Musik,Kongo,Soukous,Populäre Musik"	1992/505			Interpr.: Aurlus Mabele. Loketo	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1053816766,http://d-nb.info/gnd/3059198-3"	"Mabélé, Aurlus,Loketo"	"Beteiligte Person/Körperschaft,Interpretation (durch)"	"Mabélé, Aurlus,Loketo"	"1953-2020,"	
300634625	R 403 300634625	Dansez nza wissa : reponse lipapa ya wara / Bozi-Boziana et l'Anti Chock		"lin,fre"	Enth.: Tembe na tembe. Lucky. Chama Chiko. Bissalou. C'est pas comme ça. Ebalé	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 403	Verlags-Bestellnummer	NGAPY 0991 BZ					1985	"Brazzaville"	Anytha-Ngapy	"Musik,Kongo,Lingala,Populäre Musik"	1992/504			Interpr.: Bozi-Bozana (M.N. Ngamboni). Anti Choc	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022218875,http://d-nb.info/gnd/102221957X"	"Bozi Boziana,Anti Choc (Musikgruppe)"	"Beteiligte Person/Körperschaft,Interpretation (durch)"	"Bozi Boziana,Anti Choc"	"1952-,"	
300636199	R 402 300636199	Les "on" dit / Le grand maître Franco - Baniel et Nana et le T.P.O.K. Jazz		"fre"	Enth. außerdem: C'est dur la vie d'une femme célibataire. Je vis avec le P.D.G. Flora une femme difficile	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 402	Verlags-Bestellnummer	Choc-Choc-Choc 009			Matrix-Nummer	Matrix-Nr.: CHOC 009-A1;CHOC 009-B1	1985	"Bruxelles"	Choc (African Sun Music)	"Musik,Kongo,Populäre Musik"	1992/503	Matrix-Nr.: CHOC 009-A1;CHOC 009-B1		Interpr.: Franco et le T.P.O.K. Jazz. Baniel et Nana	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3015656-7,http://d-nb.info/gnd/1022221183"	"Tout-Puissant OK Jazz,Baniel et Nana"	"Beteiligte Person/Körperschaft,Interpretation (durch)"	"Tout-Puissant OK Jazz,Baniel et Nana"	","	
300642989	R 401 300642989	Keba na moniato / Le Prince Youlou Mabiala et l'Orchestre Kamikaze Loningisa		"und"	Enth.: Pardon Maya. Mon problème. Patou - Potpouri: Sagesse. Nsona. Papy. Kumbe-Kumbe	1 Schallplatte ; 33⅓ UpM, Stereo ; 30 cm	Signatur	R 401	Verlags-Bestellnummer	Flash FDB 100075	Produkt-Nummer	3410851000758	Matrix-Nummer	Matrix-Nr.: DFI 91 12 FDB 100075 A;DFI 91 12 FDB 100075 B	1989	"France"	Flash Diffusion Business	"Musik,Kongo,Populäre Musik"	1992/508	Matrix-Nr.: DFI 91 12 FDB 100075 A;DFI 91 12 FDB 100075 B			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022227009,http://d-nb.info/gnd/1022227483"	"Mabiala, Youlou,Kamikaze Loningisa"	"Interpretation (durch),Interpretation (durch)"	"Mabiala, Youlou,Kamikaze Loningisa"	"1947-,"	
300644728	R 400 300644728	Patron / Zao		"und"	Enth.: Wele. Patron. Makiesse. Paulo - Mon ami. Casimir. Mabele	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 400	Verlags-Bestellnummer	82463-1			Matrix-Nummer	Matrix-Nr.: 82 463-1 A;82 463-1 B	1989	"Paris"	Bleu Caraïbes	"Musik,Kongo,Populäre Musik"	1992/502	Matrix-Nr.: 82 463-1 A;82 463-1 B		Interpr.: Zao [Casimir "Zao" Zoba]	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1119185483"	"Zao"	"Beteiligte Person/Körperschaft"	"Zao"	"1953-"	
300645252	R 399 300645252	Péché de la femme / L'orchestre Choc Stars au grand complet		"fre,lin"	Enth.: Saison sèche. Ndoki ya moyi. Sabine la bien aimée. Motema moko	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 399	Verlags-Bestellnummer	BonoMusic BNM 5007					1989	"Brazzaville"	Bono-Music ; Kinshasa : Union of Number One	"Musik,Kongo,Lingala,Populäre Musik"	1992/501			Interpr.: Choc Stars	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3017839-3"	"Choc Stars (Musikgruppe)"	"Beteiligte Person/Körperschaft"	"Choc Stars"	""	
300645694	R 398 300645694	La reine du soukous / Abeti		"fre,lin"	Enth.: Mwanamuke wa Miss. Mupenzi. Ousmane. Bébé Matoko. Ma Lu. Je suis occupée	1 Schallpl. ; 33 Upm, stereo ; 30 cm	Signatur	R 398	Verlags-Bestellnummer	JP 24					1989	"S.l."	Jimmy Internat. Productions	"Musik,Kongo,Lingala,Populäre Musik"	1992/500			Interpr.: Abeti Masikini	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1012128296"	"Abeti"	"Beteiligte Person/Körperschaft"	"Abeti"	"1951-1994"	
300646615	R 397 300646615	N'kolo m'boka / Zai͏̈ko Langa Langa		"fre,lin"	Enth.: Reviens Hyppau. Masudi. Videma. Dede. Perseverer. Poupa	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 397	Verlags-Bestellnummer	Tamaris TMS 91003			Matrix-Nummer	Matrixnummern: TMS 91003 A, TMS 91003 B	1989	"Paris"	Tamaris	"Musik,Kongo,Lingala,Populäre Musik"	1992/499	Matrixnummern: TMS 91003 A, TMS 91003 B		Interpr.: Zai͏̈ko Langa Langa	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3059219-7"	"Zaïko Langa Langa (Musikgruppe)"	"Beteiligte Person/Körperschaft"	"Zaïko Langa Langa"	""	
300951000	R 408 300951000	Editions populaires : 10e anniversaire 1965-1975 / Luambo Makiadi et orchestre OK Jazz		"fre,lin"		1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 408	Verlags-Bestellnummer	African 360 081			Matrix-Nummer	Matrix-Nr.: 360081 A;360081 B B	1982	"Paris"	African (Sonodisc)	"Musik,Kongo,Lingala,Populäre Musik"	1992/510	Matrix-Nr.: 360081 A;360081 B B		Interpr.: Luambo Makiadi (Franco). OK Jazz	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034498649,http://d-nb.info/gnd/3015656-7"	"Franco, Musiker,Tout-Puissant OK Jazz"	"Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft"	"Franco <Musiker>,Tout-Puissant OK Jazz"	"1938-1989,"	
300953194	R 409 300953194	Vol. 3 : (1962 - 1964) Bantous Jazz / Bantous Jazz	Merveilles du passé	"fre,lin"	Enth.: Nako banza chérie. Cha-Cha Querida. Mwana tika monoko. Mbanda ngai na gagne, Le 2e whisky. Mowumbi wa bolingo. Pobre tantina. le tercera. Basilikoyokana. Cha cha cha parati	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 409	Verlags-Bestellnummer	African 360.148			Matrix-Nummer	Matrix-Nr.: AM 360148 A;AM 360148 B	1985	"Paris"	African (Sonodisc)	"Musik,Kongo,Lingala,Populäre Musik"	1992/511	Matrix-Nr.: AM 360148 A;AM 360148 B			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022331574"	"Les Bantous de la Capitale"	"Beteiligte Person/Körperschaft"	"Les @Bantous de la Capitale"	""	
300957971	R 412 300957971	The flying stars / Tshala Muana		"mul"	Enth.: Elako. Mpemba. Awudjue. Eric. Ngulu maza. Yoyo. Djepue. Mamwenu. Cicatrice	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 412	Verlags-Bestellnummer	Tamaris TMS 91004					1989	"Paris"	Tamaris	"Musik,Kongo,Populäre Musik"	1992/514			Interpr.: Tshala Muana	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022346229"	"Muana, Tshala"	"Beteiligte Person/Körperschaft"	"Muana, Tshala"	"1958-"	
300959567	R 413 300959567	Longindo ya kassapard / J. P. Buse du Clan Langa Langa		"und"	Enth.: Longindo ya kassapard. Mosala se bolingo - Idia. Saky-Sakina	1 Schallplatte ; 33⅓ UpM, Stereo ; 30 cm	Signatur	R 413	Verlags-Bestellnummer	BonoMusic BNM 5003			Matrix-Nummer	Matrix-Nr.: MPO BNM 5003 A;MPO BNM 5003 B	1988	"Brazzaville"	Bono Music	"Musik,Kongo,Populäre Musik"	1992/515	Matrix-Nr.: MPO BNM 5003 A;MPO BNM 5003 B			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1204382913"	"Buse, J. P."	"Komposition (von)"	"Buse, J. P."	""	
300960891	R 414 300960891	Ba gérants ya Mabala - Paka Wewe / Mbilia Bel		"lin"	Enth.: Ba gérants ya Mabala. Ba jeu de coin. Paka Wewe. Boni yo boye	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 414	Verlags-Bestellnummer	Genidia GEN 110			Matrix-Nummer	Matrix-Nr.: MPO GEN 110 A2;AM MPO GEN 110 B2	1984	"Brazzaville"	Eds. GENIDIA ; Kinshasa : Afrisa Intern.	"Musik,Kongo,Lingala,Populäre Musik"	1992/590	Matrix-Nr.: MPO GEN 110 A2;AM MPO GEN 110 B2		Interpr.: M'bilia Bel	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1074023617"	"Bel, M'bilia"	"Beteiligte Person/Körperschaft"	"Bel, M'bilia"	"1959-"	
300973926	R 418 300973926	Le monde à l'envers / Seigneur Tabu Ley Rochereau lance Faya Tess avec l'Orchestre C.M. Afrisa Int'l		"mul"	Enth.: Le monde à l'envers. Emmandie. Souci fua bo. Camarade "O". Ize	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 418	Verlags-Bestellnummer	GEN 123			Matrix-Nummer	Matrix-Nr.: GEN 1 23 A;GEE 1 23 B	1987	"Paris"	Genidia (Sonodisc)	"Musik,Kongo,Populäre Musik"	1992/592	Matrix-Nr.: GEN 1 23 A;GEE 1 23 B		Interpr.: Tabu Ley. Faya Tess. Orch. Afrisa Intern.	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,,Afrisa International Orchestra"	"Interpretation (durch),Beteiligte Person/Körperschaft,Interpretation (durch)"	"Ley, Tabu,Tess, Faya,Afrisa International Orchestra"	"1940-2013,,"	
300992238	R 419 300992238	Meko / Lady Talata		"mul"	Enth.: Mekɔ. Wareme. Take me in your arms. Asaa mata lele. Yen nye nu bɔkɔɔ. Glumar	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 419	Verlags-Bestellnummer	SATEL  86 197 (03902)					1985	"Cotonou"	Satel Productions	"Musik,Ghana,Highlife,Populäre Musik"	1992/593			Interpr.: Lady Talata Heidi	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022388584"	"Lady Talata"	"Beteiligte Person/Körperschaft"	"Lady Talata"	"1961-"	
30099351X	R 421 30099351X	Exclusivité ya l'amour / M'Pongo Love et Alexandre Sambat		"fre"	Enth.: Mbeka. Exclusivité ya l'amour. Francky. Bakake. Hymne à la paix	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 421	Verlags-Bestellnummer	IV 003					1985	"S.l."	Production Ivindo	"Musik,Kongo,Populäre Musik"	1992/595			Interpr.: M'Pongo Love. Alexandre Sambat	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022389939,http://d-nb.info/gnd/1124110798"	"Love, M'Pongo,Sambat, Alexandre"	"Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft"	"Love, M'Pongo,Sambat, Alexandre"	"1956-1990,1948-1998"	
300994141	R 422 300994141	Petite Mbemba / Fernand Mabala		"lin,fre"	Enth.: Petite Mbemba. Avis de recherche. Lissima la Kinoise. Fanfan	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 422	Verlags-Bestellnummer	MGA 002					1985	"Brazzaville"	M.G.A.	"Musik,Kongo,Populäre Musik"	1992/596			Interpr.: Fernand Mabala	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1053815786"	"Mabala, Fernand"	"Beteiligte Person/Körperschaft"	"Mabala, Fernand"	""	
300998716	R 423 300998716	Droit d'aimer : / Papy-Ipepy avec Sam Mangwana et Kourou Yaka Bokoul		"und"	Enth.: Droit d'aimer. Ma messie. Amélia-Tity. Emiyati. Zowa mamitsho. Cancer du cœur	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 423	Verlags-Bestellnummer	KL 057					1985	"Paris"	Editions Kaluila	"Musik,Kongo,Populäre Musik"	1992/597				Veröffentlichung (musikalisches Werk)	",http://d-nb.info/gnd/13511263X,"	",Mangwana, Sam,"	"Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft"	"Papy-Ipepy,Mangwana, Sam,Bokoul, Kourou Yaka"	",1945-,"	
301010544	R 424 301010544	Bel'ami / Likinga Redo		"lin,fre"	Enth.: Gosolo. Bolozi. Commission. Bel'ami. Kodi-Kodi. Soraya	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 424	Verlags-Bestellnummer	Flash FDB 100080					1985	"S.l."	Flash Diffusion Business	"Musik,Kongo,Lingala,Populäre Musik"	1992/598				Veröffentlichung (musikalisches Werk)	",http://d-nb.info/gnd/1079822712"	",Rigo Star"	"Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft"	"Redo, Likinga,Rigo Star"	","	
301011915	R 425 301011915	Cadeau d'amitié / Joly Baki Emen Mubiala. Viva la Musica de Papa wemba		"fre"	Enth.: Cadeau d'amitié. Izbie Belle. Ce jeune homme - La @petite Nadège. Esther Longo. Izbie Belle (instrumental)	1 Schallplatte ; 33⅓ UpM, stereo ; 30 cm	Signatur	R 425	Verlags-Bestellnummer	Flash FDB 100074					1990	"Paris"	Flash Diffusion Business	"Musik,Kongo,Populäre Musik"	1992/599				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1127873180,http://d-nb.info/gnd/3041004-6"	"Joly Baki Emen Mubiala,Viva la Musica"	"Interpretation (durch),Beteiligte Person/Körperschaft"	"Joly Baki Emen Mubiala,Viva la Musica"	"195X-,"	
301013640	R 426 301013640	Opération soukous 1978-1980 ... / Afro Festival dirigé par Fantastic Thico "Golden Voice"		"und"	Enth.: Opération soukous 1978-1980. Parent love. Goodbye confidential. Afro-Festival	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 426	Verlags-Bestellnummer	SAF 50 094					1979	"Paris"	Sonafric (Sonodisc)	"Musik,Kongo,Populäre Musik"	1992/833			Interpr.: Thico Tchicaya. Afro-Festival	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/105436592X,http://d-nb.info/gnd/1077773862"	"Tchicaya, Tchico,Afro Festival"	"Musikalische Leitung (durch),Interpretation (durch)"	"Tchicaya, Tchico,Afro Festival"	","	
301094756	R 429 301094756	Maïka invite : dans Saint Cro / Maïka Mounan. Special guests: Myriam Betty, Papa Wemba, Rigo Star ...		"und"	Enth.: Biwela. Kaï Ba. Ima ole. Megarumba (Barua). Mampe-Mampe. Masikini alube	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 429	Verlags-Bestellnummer	Afric'Music AM 06					1989	"Paris"	Afric'Music	"Musik,Kongo,Populäre Musik"	1992/836				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134756150,http://d-nb.info/gnd/13472769X,http://d-nb.info/gnd/134756258,http://d-nb.info/gnd/1079822712"	"Munan, Maika,Betty, Myriam,Papa Wemba,Rigo Star"	"Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft"	"Munan, Maika,Betty, Myriam,Papa Wemba,Rigo Star"	",,1949-2016,"	
301096465	R 432 301096465	Tyka 'ngai / Pablo Lubadika		"lin,fre"	Enth.: Tyka 'ngai. J'aime que tu sois. La voix de l'Afrique. Momie	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 432	Verlags-Bestellnummer	Voix d'Afrique VA 002					1985	"Köln"	Voix d'Afrique	"Musik,Kongo,Lingala,Populäre Musik"	1992/1265	Tyka 'ngai [Lingala], eigentl.: tika ngai		Interpr.: Pablo Lubadika	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1053482531"	"Pablo, Musiker"	"Interpretation (durch)"	"Pablo <Musiker>"	"1952-"	
301652872	R 440 301652872	La Zai͏̈komania : l'amour du travail bien fait / J.P. Buse ...		"und"	Enth.: Olasi. Wadeni. Lutonzol. Pajora	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 440	Verlags-Bestellnummer	Bono BNM 5005					1989	"S.l."	Bono Music (Sonodisc)	"Musik,Kongo,Zaiko Langa-Langa,Populäre Musik"	1992/1439			Interpr.: J.P. Buse. Mbuta Mashakado. Zangilu Popolipo. (u.a.)	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1204382913,http://d-nb.info/gnd/1034406833,"	"Buse, J. P.,Yaya M'buta Mashakado,"	"Interpretation (durch),Interpretation (durch),Interpretation (durch)"	"Buse, J. P.,Yaya M'buta Mashakado,Popolipo, Zangilu"	",19XX-2011,"	
30167258X	R 442 30167258X	Subissez les conséquences / Zai͏̈ko Langa-Langa		"lin"	Enth.: Nibe. Lisumu. Kevalina. Moyen te	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 442	Verlags-Bestellnummer	Espérance ESP 8445					1987	"S.l."	Disques Espérance (Sonodisc)	"Musik,Kongo,Lingala,Populäre Musik"	1992/1437		Seite A des Tonträgers hängt	Interpr.: Orch. Zai͏̈ko Langa-Langa	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3059219-7"	"Zaïko Langa Langa (Musikgruppe)"	"Beteiligte Person/Körperschaft"	"Zaïko Langa Langa"	""	
